         576979 function calls in 9.286 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3927    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
       90    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     3927    0.001    0.000    0.001    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.011    0.011    0.011    0.011 {method 'readlines' of 'file' objects}
        2    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
   174102    0.083    0.000    0.083    0.000 {method 'split' of 'str' objects}
       21    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
   170174    0.052    0.000    0.052    0.000 {method 'strip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.000    0.000 {open}
       21    0.000    0.000    0.000    0.000 {ord}
        2    0.000    0.000    0.000    0.000 {posix.stat}
        1    0.000    0.000    0.000    0.000 {posix.urandom}
       16    0.000    0.000    0.000    0.000 {setattr}
        5    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 {thread.get_ident}


